id,NOM,NOM-titre,composante,contre indication,effet indesirable,précaution emploi,sur dosage,Classes thérapeutiques,pour lesquelles ce médicament peut être prescrit,autres formes,Forme pharmaceutique,Code ATC,Classepharmacothérapeutique,CODE,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BaseRembours,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
0,AZOPT,"AZOPT 10 mg/ml, collyre en suspension, boîte de 1 flacon de 5 ml",Brinzolamide : 10 mg *,"Hypersensibilité brinzolamide,Hypersensibilité sulfonamides,Hypersensibilité chlorure de benzalkonium,Insuffisance rénale sévère,Acidose hyperchlorémique,Allaitement,Patient de moins de 18 ans,Insuffisant hépatique,Glaucome à angle étroit,Lentilles de contact souples,Grossesse,Absence de contraception féminine efficace,Hypersensibilité à la substance active ou à l'un des excipients mentionnés à la rubrique ,Composition,.,Hypersensibilité connue aux sulfonamides (voir également rubrique ,Mises en garde et précautions d'emploi,).,Insuffisance rénale sévère.,Acidose hyperchlorémique.","Rhinopharyngite,Pharyngite,Sinusite,Rhinite,Diminution du nombre de globules rouges,Augmentation du taux de chlorure dans le sang,Hypersensibilité,Diminution de l'appétit,Apathie,Dépression,Trouble de l'humeur,Diminution de la libido,Cauchemars,Nervosité,Insomnie,Trouble de l'appareil locomoteur,Amnésie,Vertige,Paresthésie,Maux de tête,Trouble de la mémoire,Somnolence,Tremblement,Hypoesthésie,Agueusie,Vision floue,Irritation oculaire,Douleur oculaire,Sensation de corps étranger dans les yeux,Hyperhémie oculaire,Erosion cornéenne,Kératite,Kératite ponctuée,Kératopathie,Dépôt oculaire,Coloration cornéenne,Atteinte de l'épithélium cornéen,Blépharite,Prurit oculaire,Conjonctivite,Gonflement oculaire,Meibomiite,Eblouissement,Photophobie,Oeil sec,Conjonctivite allergique,Ptérygion,Pigmentation sclérale,Asthénopie,Gêne oculaire,Sensation anormale dans l'oeil,Kératoconjonctivite sèche,Kyste sous-conjonctival,Hyperhémie conjonctivale,Prurit des paupières,Ecoulement oculaire,Formation de croûte sur le bord de la paupière,Augmentation du larmoiement,Oedème cornéen,Diplopie,Baisse d'acuité visuelle,Photopsie,Hypo-esthésie oculaire,Oedème péri-orbitaire,Augmentation de la pression intra-oculaire,Augmentation du ratio cup/disc du nerf optique,Affection de la cornée,Trouble visuel,Allergie oculaire,Madarose,Affection des paupières,Erythème de la paupière,Tinnitus,Vertige labyrinthique,Détresse respiratoire,Bradycardie,Palpitation,Angine de poitrine,Rythme cardiaque irrégulier,Tachycardie,Hypertension,Augmentation de la pression artérielle,Diminution de la tension artérielle,Accélération du rythme cardiaque,Dyspnée,Epistaxis,Douleur oropharyngée,Douleur pharyngolaryngée,Irritation de la gorge,Toux,Rhinorrhée,Eternuements,Hyperactivité bronchique,Congestion des voies respiratoires supérieures,Congestion sinusale,Congestion nasale,Sécheresse nasale,Asthme,Dysgueusie,Oesophagite,Diarrhée,Nausée,Vomissement,Dyspepsie,Douleur abdominale haute,Gêne abdominale,Maux d'estomac,Flatulence,Selles fréquentes,Troubles gastro-intestinaux,Hypo-esthésie orale,Paresthésie orale,Bouche sèche,Bilan hépatique anormal,Rash,Rash maculopapuleux,Tiraillement cutané,Urticaire,Alopécie,Prurit généralisé,Dermatite,Erythème cutané,Maux de dos,Spasme musculaire,Myalgie,Arthralgie,Douleur des extrémités,Douleur rénale,Pollakiurie,Dysfonction érectile,Douleur,Gêne thoracique,Fatigue,Sensation de mal être,Douleur thoracique,Irritabilité,Oedème périphérique,Malaise,Coloration jaune des lentilles de contact","Réaction d'hypersensibilité,Insuffisance rénale légère à modérée,Glaucome pseudo-exfoliatif,Glaucome pigmentaire,Cornée fragilisée,Diabète sucré,Yeux secs,Femme en âge de procréer","Aucun cas de surdosage n'a été rapporté., ,Le traitement devra être symptomatique et général. Un déséquilibre hydro-électrolytique, le développement d'un état d'acidose et d'éventuels effets sur le système nerveux peuvent survenir. L'ionogramme (en particulier le potassium) et le pH sanguin doivent être surveillés.",Ophtalmologie,"Hypertension intra-oculaire,Glaucome à angle ouvert","AZOPT 10 mg/ml, collyre en suspension, boîte de 1 flacon de 5 ml,AZOPT 10 mg/ml, collyre en suspension, boîte de 1 flacon de 5 ml",Collyre en suspension,S01EC04,Brinzolamide,6118001070114,BRINZOLAMIDE,10MG,MG,COLLYRE,1 FLACON 5 ML, 157.60   , 98.20   , 157.60   ,P,70%
1,COLIMYCINE,"COLIMYCINE 1 MUI, poudre et solvant pour inhalation par nébuliseur, boîte de 1 flacon de poudre + ampoule de solvant de 3 ml",Colistiméthate sodique : 1 MUI* *,"Hypersensibilité colistiméthate sodique,Hypersensibilité colistine,Hypersensibilité polymyxines,Allaitement","Baisse du VEMS,Bronchospasme,Dyspnée,Oppression thoracique,Augmentation de la toux,Augmentation des expectorations,Pharyngite,Altération de la voix,Hémoptysie,Réaction d'hypersensibilité,Rash cutané,Réaction anaphylactique,Insuffisance rénale,Paresthésie péribuccale,Paresthésie des extrémités,Désorientation temporospatiale,Syndrome confusionnel,Bloc neuromusculaire,Paralysie respiratoire","Insuffisance rénale,Jeune enfant,Réaction allergique,Bronchospasme,Hémoptysie,Myasthénie,Porphyrie","Le surdosage peut provoquer des apnées, une faiblesse musculaire et une insuffisance rénale. Il n'existe pas d'antidote spécifique.,La prise en charge du surdosage repose sur le traitement symptomatique et des mesures prévues pour augmenter l'élimination du colistiméthate sodique tel que la diurèse osmotique à l'aide de mannitol. La colistine n'est pas dialysable.",Infectiologie - Parasitologie,Infection pulmonaire à Pseudomonas aeruginosa chez le patient atteint de mucoviscidose,"COLIMYCINE 1 MUI, poudre et solvant pour inhalation par nébuliseur, boîte de 30 flacons de poudre + ampoules de solvant de 3 ml,COLIMYCINE 1 500 000 UI, comprimé, boîte de 50,COLIMYCINE 1.000.000 U.I., poudre et solvant pour solution injectable, boîte de 50 flacons de poudre de 1 mUI,COLIMYCINE 500.000 U.I., poudre et solution pour préparation injectable, boîte de 1 flacon de poudre + ampoule de solvant de 3 ml,COLIMYCINE 1 500 000 UI, comprimé, boîte de 10,COLIMYCINE 1.000.000 U.I., poudre et solvant pour solution injectable, boîte de 1 flacon de poudre + ampoule de solvant de 3 ml",Poudre et solvant pour inhalation par nébuliseur,J01XB01,Colistine,6118000030522,COLISTINE,1.5MUI,MUI,COMPRIME,1 BOITE 10 COMPRIME, 63.60   , 42.10   , 63.60   ,P,0%
2,COMBIVIR,"COMBIVIR 150 mg/300 mg, comprimé pelliculé, boîte de 6 plaquettes thermoformées de 10","Lamivudine : 150 mg *,Zidovudine : 300 mg *","Hypersensibilité lamivudine,Hypersensibilité zidovudine,Hémoglobine < 7,5 g/dL,Neutrophiles < 0,75 x 10 puissance 9/L,Enfant de moins de 14 kg,Allaitement","Acidose lactique,Hépatomégalie,Stéatose hépatique,Lipodystrophie,Perte du tissu adipeux sous-cutané facial,Perte du tissu adipeux sous-cutané périphérique,Augmentation du poids,Hypertriglycéridémie,Hypercholestérolémie,Hyperglycémie,Infection opportuniste,Affection auto-immune,Maladie de Basedow,Hépatite auto-immune,Ostéonécrose,Neutropénie,Anémie,Thrombocytopénie,Aplasie érythrocytaire,Céphalée,Insomnie,Neuropathie périphérique,Paresthésie,Toux,Symptômes au niveau nasal,Nausée,Vomissement,Douleur abdominale,Crampe abdominale,Diarrhée,Pancréatite,Elévation de l'amylasémie,Elévation des enzymes hépatiques,Hépatite,Eruption cutanée,Alopécie,Angioedème,Arthralgie,Troubles musculaires,Rhabdomyolyse,Fatigue,Malaise,Fièvre,Leucopénie,Pancytopénie,Hypoplasie médullaire,Anémie aplasique,Anorexie,Anxiété,Dépression,Vertige,Somnolence,Baisse de l'acuité intellectuelle,Convulsions,Cardiomyopathie,Dyspnée,Flatulence,Pigmentation de la muqueuse buccale,Altération du goût,Dyspepsie,Elévation de la bilirubinémie,Hépatomégalie avec stéatose,Prurit cutané,Pigmentation des ongles,Pigmentation de la peau,Urticaire,Sueurs,Myalgie,Myopathie,Pollakiurie,Gynécomastie,Douleur généralisée,Asthénie,Frissons,Douleur thoracique,Syndrome pseudogrippal,Hyperlactatémie,Perte d'appétit,Perte de poids,Symptôme respiratoire,Symptômes neurologiques,Insuffisance hépatique,Insuffisance rénale,Hypertonie,Convulsion chez le nourrisson,Trouble du comportement,Rétinite à cytomégalovirus,Infection mycobactérienne,Pneumonie à Pneumocystis jiroveci,Douleur,Raideur articulaire,Difficulté à se mouvoir","Infection opportuniste,Insuffisance médullaire,Surveillance hématologique,Anémie sévère,Hémoglobine < 9 g/dL,Neutrophiles < 1x10 puissance 9/L,Pancréatite,Hyperlactatémie,Acidose lactique d'étiologie inconnue,Elévation des transaminases,Hépatomégalie,Atteinte hépatique,Hépatite C,Nouveau-né de mère traitée,Lipodystrophie,Surveillance cholestérolémie,Surveillance triglycéridémie,Surveillance glycémie,Syndrome de restauration immunitaire,Hépatite B,Ostéonécrose,Grossesse,Insuffisance rénale (Clcr < 50 ml/mn),Insuffisance hépatique sévère,Sujet âgé","Peu de cas de surdosage ont été rapportés à ce jour pour Combivir. Excepté les effets indésirables préalablement mentionnés, aucun symptôme ou signe spécifique n'a été identifié suite à un surdosage aigu à la zidovudine ou à la lamivudine. Aucun décès n'est survenu et l'évolution a toujours été favorable., ,En cas de surdosage, une surveillance médicale avec un éventuel traitement symptomatique est nécessaire (voir rubrique ,Effets indésirables,.). La lamivudine étant dialysable, une hémodialyse continue peut être réalisée en cas de surdosage, bien que cela n'ait pas été étudié. L'hémodialyse et la dialyse péritonéale semblent n'avoir qu'un effet limité sur l'élimination de la zidovudine, mais facilite l'élimination du métabolite glucuroconjugué. Pour plus de détails, il est conseillé de se référer à chacun des résumés des caractéristiques du produit concernant la lamivudine et la zidovudine.",Infectiologie - Parasitologie,Infection par le VIH,,Comprimé pelliculé sécable,J05AR01,Zidovudine et lamivudine,6118000140213,LAMIVUDINE / ZIDOVUDINE,150 / 300MG / MG,MG / MG,COMPRIME PELLICULE SECABLE,1 BOITE 60 COMPRIME, -     ," 2,140.00   ", 618.00   ,P,70%
3,COMBIVENT,"COMBIVENT 100 microgrammes/20 microgrammes par dose, suspension pour inhalation en flacon pressurisé, flacon pressurisé (+ valve doseuse+embout buccal) de 10 ml",,,,,,Pneumologie,,,,,,6118001040094,IPRATROPIUM / SALBUTAMOL,100 / 20µG / µG,µG / µG,SUSPENSION POUR INHALATION,1 FLACON 200 DOSE, 103.70   , 68.60   , -     ,P,70%
4,CYTEAL,"CYTEAL, solution moussante, flacon de 500 ml","Hexamidine : 0.1 g *,Chlorhexidine : 0.5 ml *,Chlorocrésol : 0.3 g *","Hypersensibilité hexamidine,Hypersensibilité chlorhexidine,Hypersensibilité chlorocrésol,Antisepsie avant prélèvement,Antisepsie de type chirurgical,Désinfection du matériel médico-chirurgical,Oeil,Cerveau,Méninges,Perforation tympanique,Allaitement,Grossesse","Choc anaphylactique,Hypersensibilité,Dermite de contact,Phénomène d'Arthus,Irritation oculaire,Réaction au site d'application,Allergie générale,Eczéma allergique de contact,Eruption cutanée,Eruption infiltrée,Lésion papuleuse,Lésion papulovésiculaire hémisphérique,Intolérance locale,Douleur au site d'application,Démangeaison au site d'application,Brûlure au site d'application,Sécheresse au site d'application,Rougeur au site d'application","Grande surface,Sous occlusion,Peau lésée,Peau brûlée,Muqueuse,Prématuré,Nourrisson,Dermatite de contact","Symptômes,Aucun cas de surdosage n'a été rapporté.,Gestion,En cas d'ingestion accidentelle, ne pas faire de lavage gastrique (produit moussant).,Des mesures générales de soutient doivent être instituées comme cela est jugé nécessaire par le médecin. ",Dermatologie,"Affection de la peau et des muqueuses primitivement bactérienne,Affection de la peau et des muqueuses susceptible de se surinfecter","CYTEAL, solution moussante, flacon de 250 ml,CYTEAL, savon solide, étui de 100 g,CYTEAL, solution moussante, flacon de 1000 ml",Solution moussante pour application locale,D08AC52,Chlorhexidine en association,6118000220299,CHLORHEXIDINE / HEXAMIDINE / CHLOROCRESOL,0.5 / 0.1 / 0.3ML / G / G,ML / G / G,SOLUTION MOUSSANTE POUR APPLICATION LOCALE,1 FLACON 250 ML, 29.00   , 19.15   , 29.00   ,P,0%
5,CYTARABINE EBEWE,"CYTARABINE EBEWE 20 mg/ml, solution injectable, boîte de 1 flacon de 5 ml",Cytarabine : 20 mg *,"Hypersensibilité cytarabine,Aplasie médullaire,Infection méningée évolutive,Encéphalopathie dégénérative,Encéphalopathie toxique,Absence de contraception féminine efficace,Allaitement,Grossesse,Absence de contraception masculine","Hyperuricémie,Péricardite,Bradycardie sinusale,Cardiomyopathie,Aplasie médullaire,Hypoplasie médullaire,Anémie,Granulopénie,Thrombopénie,Mégaloblastose,Chute du taux des réticulocytes,Complication hémorragique,Complication infectieuse,Infection virale,Infection bactérienne,Infection fongique,Infection parasitaire,Neurotoxicité,Troubles cérébelleux,Dysarthrie,Nystagmus,Ataxie cérébelleuse,Coma,Trouble du comportement,Neuropathie périphérique sensitive,Neuropathie périphérique motrice,Atteinte de la cornée,Conjonctivite hémorragique,Toxicité pulmonaire,Syndrome de détresse respiratoire,Oedème pulmonaire,Pneumopathie interstitielle,Nausée,Vomissement,Anorexie,Stomatite,Mucite,Ulcération gastro-intestinale,Perforation gastro-intestinale,Péritonite,Nécrose intestinale,Pancréatite aiguë,Insuffisance rénale,Rétention urinaire,Rash cutané,Dermatite exfoliative,Alopécie,Ulcération cutanée,Thrombophlébite au point d'injection,Cellulite au point d'injection,Poussée fébrile,Syndrome cytarabine,Elévation de la température,Myalgie,Douleur osseuse,Douleur thoracique,Rash maculopapuleux,Conjonctivite,Sensation de malaise général,Oedème allergique,Abcès hépatique,Altération fonctionnelle hépatique,Elévation de la bilirubinémie,Ictère,Aménorrhée,Azoospermie,Paraplégie,Leuco-encéphalite nécrosante,Convulsions,Cécité","Surveillance NFS,Surveillance myélogramme,Insuffisance médullaire,Plaquettes < 50000/mm3,Neutropénie < 1000/mm3,Surveillance fonction rénale,Surveillance fonction hépatique,Insuffisance hépatique,Insuffisance rénale,Surveillance uricémie,Hyperuricémie,Neuropathie,Femme en âge de procréer,Homme fertile,Homme dont la partenaire est enceinte ou susceptible de l'être,Antécédent de radiothérapie du système nerveux central,Antécédent de traitement intrathécal,Nouveau-né de mère traitée","Il n'existe pas d'antidote spécifique. La dose de 4,5 g/m,2, en perfusion IV d'une heure toutes les 12 heures en 12 doses provoque une toxicité du système nerveux central irréversible et létale.",Cancérologie et hématologie,"Leucémie aiguë myéloblastique,Leucémie aiguë lymphoblastique,Localisation méningée de leucémie aiguë lymphoblastique,Transformation aiguë des leucémies myéloïdes chroniques,Transformation aiguë de myélodysplasie","CYTARABINE EBEWE 50 mg/ml, solution injectable, boîte de 1 flacon de 40 ml,CYTARABINE EBEWE 50 mg/ml, solution injectable, boîte de 1 flacon de 10 ml,CYTARABINE EBEWE 50 mg/ml, solution injectable, boîte de 1 flacon de 20 ml",Solution injectable ou pour perfusion,L01BC01,Cytarabine,6118001200696,CYTARABINE,100MG,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML, 42.00   , 26.20   , 42.00   ,G,70%
6,EULEXINE,"EULEXINE 250 mg, comprimé, étui de 30",Flutamide : 250 mg *,"Sensibilité flutamide,Antécédent d'atteinte hépatique liée à la prise de flutamide,Insuffisance hépatocellulaire sévère,Femme,Galactosémie congénitale,Syndrome de malabsorption du glucose et du galactose,Déficit en lactase","Diarrhée,Nausée,Vomissement,Douleur abdominale,Elévation des transaminases,Hépatite grave,Gynécomastie,Sensibilité mammaire,Méthémoglobinémie,Sulfhémoglobinémie,Modification du spermogramme,Photosensibilisation,Anémie,Cancer du sein,Coloration vert-jaune des urines,Bouffées de chaleur,Diminution de la libido,Impuissance","Surveillance transaminases,Elévation des transaminases,Cyanose",,Cancérologie et hématologie,Cancer de la prostate avec métastases,,Comprimé,L02BB01,Flutamide,6118001150144,FLUTAMIDE,250MG,MG,COMPRIME,1 BOITE 30 COMPRIME, 283.00   , 188.40   , 283.00   ,P,70%
7,EXACYL,"EXACYL 0,5 g/5 mL Injectable IV boîte de 5 ampoules de 5 ml",Tranexamique acide : 0.5 g *,"Hypersensibilité acide tranexamique,Thrombose,Etat fibrinolytique réactionnel à une coagulopathie de consommation,Insuffisance rénale grave,Antécédent de convulsion,Voie intrathécale,Voie intraventriculaire,Voie IM,Intracérébrale,Absence de contraception féminine efficace,Grossesse,Allaitement","Dermatite allergique,Diarrhée,Vomissement,Nausée,Convulsions,Trouble visuel,Altération de la vision des couleurs,Malaise,Hypotension,Perte de connaissance,Thrombose artérielle,Thrombose veineuse,Réaction d'hypersensibilité,Anaphylaxie,Erythème pigmenté fixe,Altération rénale aiguë","Posologies limitées à l'adulte et à l'enfant de plus de 1 an,Trouble visuel,Surveillance ophtalmologique,Hématurie d'origine rénale,Antécédent thrombo-embolique,Antécédent familial d'accident thrombo-embolique,Insuffisance rénale légère à modérée,CIVD,Femme en âge de procréer,Hémorragie du post-partum","Aucun cas de surdosage n'a été rapporté.,Les signes et symptômes peuvent inclure vertiges, céphalées, hypotension et convulsions. Il a été démontré que les convulsions tendent à survenir à une fréquence plus élevée lorsque la dose augmente.,La prise en charge d'un surdosage consiste en un traitement symptomatique.",Hémostase et sang,Syndrome hémorragique fibrinolytique,"EXACYL 1 g/10 ml, solution buvable, boîte de 5 ampoules de 10 ml,EXACYL 500 mg, comprimé pelliculé, boîte de 20",Solution injectable IV,B02AA02,Tranexamique acide,6118000061243,ACIDE TRANEXAMIQUE,250MG,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME, 28.30   , 17.70   , 28.30   ,P,70%
8,EZETROL,"EZETROL 10 mg, comprimé, boîte de 28",Ezétimibe : 10 mg *,"Hypersensibilité ézétimibe,Allaitement,Enfant de moins de 6 ans,Intolérance au galactose,Syndrome de malabsorption du glucose,Syndrome de malabsorption du galactose,Déficit en lactase,Insuffisance hépatique modérée ou sévère,Enfant de 6 à 10 ans,Grossesse","Augmentation des ALAT,Augmentation des ASAT,Augmentation des CPK,Augmentation des gamma GT,Anomalie des tests hépatiques,Toux,Douleur abdominale,Diarrhée,Flatulence,Dyspepsie,Reflux gastro-oesophagien,Nausée,Arthralgie,Crampe musculaire,Douleur cervicale,Diminution de l'appétit,Bouffées vasomotrices,Hypertension,Fatigue,Douleur à la poitrine,Douleur,Maux de tête,Paresthésie,Sécheresse buccale,Gastrite,Prurit cutané,Rash cutané,Urticaire,Myalgie,Douleur dorsale,Faiblesse musculaire,Douleur des extrémités,Asthénie,Oedème périphérique,Thrombocytopénie,Etourdissement,Dyspnée,Pancréatite,Constipation,Erythème multiforme,Myopathie,Rhabdomyolyse,Hypersensibilité,Rash allergique,Urticaire allergique,Anaphylaxie,Angio-oedème,Hépatite,Lithiase biliaire,Cholécystite,Dépression,Cholécystectomie,Tumeur maligne","Transaminases > 3 LSN,Symptômes musculaires inexpliqués,CPK musculaire > 10 N,Enfant de 10 à 17 ans,Lithiase biliaire","Dans des études cliniques, l'administration d'ézétimibe à la dose de 50 mg/jour chez 15 sujets sains sur une période allant jusqu'à 14 jours ou à la dose de 40 mg/jour chez 18 patients ayant une hypercholestérolémie primaire sur une période allant jusqu'à 56 jours, a été généralement bien tolérée. Chez l'animal, aucune toxicité n'a été observée après des doses orales uniques de 5 000 mg/kg d'ézétimibe chez le rat et la souris et de 3 000 mg/kg chez le chien.,Quelques cas de surdosage ont été rapportés avec EZETROL ; la plupart d'entre eux n'ont pas été associés à des effets indésirables. Il n'a pas été rapporté d'effets indésirables graves. En cas de surdosage, un traitement symptomatique voire des mesures complémentaires doivent être utilisées.",Métabolisme et nutrition,"Hypercholestérolémie primaire,Prévention cardiovasculaire chez les coronariens avec antécédent de syndrome coronarien aigu,Hypercholestérolémie familiale homozygote,Sitostérolémie familiale homozygote","EZETROL 10 mg, comprimé, boîte de 28,EZETROL 10 mg, comprimé, boîte de 50,EZETROL 10 mg, comprimé, boîte de 90",Comprimé,C10AX09,Ezétimibe,6118001160112,EZETIMIBE,10MG,MG,COMPRIME,1 BOITE 28 COMPRIME, 404.00   , 267.20   , 404.00   ,P,0%
9,HYTACAND,"HYTACAND 8 mg/12,5 mg, comprimé, boîte de 90","Candésartan cilexétil : 8 mg *,Hydrochlorothiazide : 12.5 mg *","Hypersensibilité candésartan cilexetil,Hypersensibilité hydrochlorothiazide,Hypersensibilité sulfonamides,Grossesse à partir du 2ème trimestre,Insuffisance rénale sévère (Clcr < 30 ml/mn),Insuffisance hépatique sévère,Cholestase,Hypokaliémie réfractaire,Hypercalcémie,Goutte,Enfant de moins de 18 ans,Allaitement,Intolérance au galactose,Déficit en lactase,Syndrome de malabsorption du glucose,Syndrome de malabsorption du galactose,Hyperaldostéronisme primaire,Grossesse 1er trimestre,Patiente qui envisage une grossesse","Infection respiratoire,Leucopénie,Neutropénie,Agranulocytose,Hyperkaliémie,Hyponatrémie,Etourdissement,Vertige,Céphalée,Toux,Nausée,Elévation des enzymes hépatiques,Anomalie de la fonction hépatique,Hépatite,Angio-oedème,Eruption cutanée,Urticaire,Prurit cutané,Dorsalgie,Arthralgie,Myalgie,Altération de la fonction rénale,Insuffisance rénale,Thrombopénie,Aplasie médullaire,Dépression médullaire,Anémie hémolytique,Réaction anaphylactique,Hyperglycémie,Hyperuricémie,Déséquilibre électrolytique,Hypokaliémie,Trouble du sommeil,Dépression,Agitation,Sensation de tête vide,Paresthésie,Vision trouble,Myopie aiguë,Glaucome à angle fermé,Arythmie,Hypotension orthostatique,Angéite nécrosante,Vascularite,Vascularite cutanée,Détresse respiratoire,Pneumopathie,Oedème pulmonaire,Anorexie,Perte d'appétit,Irritation gastrique,Diarrhée,Constipation,Pancréatite,Ictère,Ictère cholestatique intra-hépatique,Réaction de photosensibilité,Nécrolyse épidermique toxique,Lupus érythémateux systémique,Lupus cutané érythémateux,Spasme musculaire,Glycosurie,Néphrite interstitielle,Faiblesse,Fièvre,Augmentation des taux de cholestérol,Augmentation des taux de triglycérides,Augmentation du taux d'urée,Augmentation du taux de créatinine,Altération de la tolérance au glucose,Hypercalcémie,Hypomagnésémie,Alcalose hypochlorémique,Carcinome basocellulaire,Carcinome épidermoïde cutané","Insuffisance rénale légère à modérée,Transplantation rénale,Sténose bilatérale de l'artère rénale,Sténose artérielle rénale sur rein fonctionnel unique,Déplétion volémique,Déplétion sodée,Anesthésie générale,Intervention chirurgicale,Insuffisance hépatique légère à modérée,Affection hépatique évolutive,Sténose aortique,Sténose mitrale,Cardiomyopathie obstructive hypertrophique,Surveillance taux électrolytes,Exploration de la fonction parathyroïdienne,Diurèse importante,Cirrhose,Insuffisance cardiaque,Diabète,Prédisposition à la goutte,Photosensibilité des diurétiques thiazidiques,Cardiopathie ischémique,Maladie cérébrovasculaire ischémique,Antécédent d'allergie,Antécédent d'asthme bronchique,Lupus érythémateux disséminé,Sportif,Nouveau-né de mère traitée,Consommation d'alcool,Exposition au soleil,Exposition aux rayons UV,Antécédent de cancer cutané,Lésion cutanée","Symptômes,Les manifestations attendues d'un surdosage avec le candésartan cilexetil sont une hypotension symptomatique et des vertiges, en rapport avec l'activité pharmacologique. Des cas individuels de surdosage (jusqu'à 672 mg de candésartan cilexetil) indiquent que les patients se sont rétablis sans incident particulier.,La principale manifestation d'un surdosage en hydrochlorothiazide est une perte aigüe de fluides et électrolytes. Des symptômes tels qu'étourdissements, hypotension artérielle, soif, tachycardie, arythmies ventriculaires, sédation/altération de la conscience et crampes musculaires peuvent également être observés.,Conduite à tenir,Aucune information spécifique n'est disponible à propos du traitement d'un surdosage avec HYTACAND. Cependant, les mesures suivantes sont suggérées.,L'induction de vomissements ou un lavage gastrique peuvent être envisagés dans certains cas. En cas d'hypotension symptomatique, un traitement symptomatique doit être instauré et les signes vitaux doivent être surveillés. Le patient doit être placé en position allongée, les jambes surélevées. Si cela n'est pas suffisant, le volume plasmatique doit être augmenté en perfusant une solution saline isotonique. L'équilibre acide et électrolytique doit être vérifié et corrigé si besoin. Des médicaments sympathomimétiques peuvent être administrés si les mesures précédentes ne sont pas suffisantes.,Le candésartan ne peut pas être éliminé par hémodialyse. La quantité d'hydrochlorothiazide éliminée par hémodialyse est inconnue.",Cardiologie et angéiologie,Hypertension artérielle essentielle,"HYTACAND 8 mg/12,5 mg, comprimé, boîte de 30,HYTACAND 16 mg/12,5 mg, comprimé, boîte de 90,HYTACAND 16 mg/12,5 mg, comprimé, boîte de 98,HYTACAND 16 mg/12,5 mg, comprimé, boîte de 28,HYTACAND 16 mg/12,5 mg, comprimé, boîte de 30,HYTACAND 8 mg/12,5 mg, comprimé, boîte de 28,HYTACAND 8 mg/12,5 mg, comprimé, boîte de 98",Comprimé,C09DA06,Candesartan et diurétiques,6118001020881,CANDESARTAN / HYDROCHLOROTHIAZIDE,8 / 12.5MG / MG,MG / MG,COMPRIME,1 BOITE 28 COMPRIME, 223.00   , 139.70   , 223.00   ,P,70%
